# time, CROND, RSYSLOGD, SESSION, SSHD, SU
2018-06-29-00, 0.8292682926829269, 0.0, 0.7961165048543688, 0.15523737754333083, 0.8846153846153846
2018-06-29-01, 0.8048780487804879, 0.0, 0.8058252427184465, 0.1544837980406933, 0.903846153846154
2018-06-29-02, 0.878048780487805, 0.46153846153846156, 0.7961165048543688, 0.15486058779201206, 0.8846153846153846
2018-06-29-03, 0.8414634146341464, 0.0, 0.8058252427184465, 0.15410700828937454, 0.8846153846153846
2018-06-29-04, 0.8292682926829269, 0.0, 0.7961165048543688, 0.15410700828937454, 0.903846153846154
2018-06-29-05, 0.8170731707317074, 0.0, 0.8349514563106795, 0.15486058779201206, 0.9807692307692308
2018-06-29-06, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-07, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-08, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-09, 0.8048780487804879, 0.0, 0.8155339805825241, 0.15787490580256217, 0.8846153846153846
2018-06-29-10, 0.8048780487804879, 0.0, 0.8058252427184465, 0.1544837980406933, 0.8846153846153846
2018-06-29-11, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-12, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-13, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-14, 0.8048780487804879, 0.0, 0.8155339805825241, 0.15523737754333083, 0.8846153846153846
2018-06-29-15, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.903846153846154
2018-06-29-16, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-17, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-18, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-29-19, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15523737754333083, 0.8846153846153846
2018-06-29-20, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.9230769230769231
2018-06-29-21, 0.8048780487804879, 0.0, 0.8058252427184465, 0.1544837980406933, 0.8846153846153846
2018-06-29-22, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15523737754333083, 0.8846153846153846
2018-06-29-23, 0.9512195121951221, 0.0, 0.8058252427184465, 0.1544837980406933, 0.8846153846153846
2018-06-30-00, 0.8170731707317074, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-01, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.9615384615384617
2018-06-30-02, 0.878048780487805, 0.46153846153846156, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-03, 0.8414634146341464, 0.0, 0.8058252427184465, 0.15410700828937454, 0.8846153846153846
2018-06-30-04, 0.8292682926829269, 0.0, 0.7961165048543688, 0.15410700828937454, 0.903846153846154
2018-06-30-05, 0.8170731707317074, 0.0, 0.8155339805825241, 0.15410700828937454, 0.9230769230769231
2018-06-30-06, 0.8048780487804879, 0.0, 0.8058252427184465, 0.1544837980406933, 0.8846153846153846
2018-06-30-07, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-08, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-09, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-10, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-11, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-12, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-13, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-14, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-15, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-16, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-17, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-18, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-19, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-20, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-21, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-22, 0.8048780487804879, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-06-30-23, 0.9512195121951221, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-07-01-00, 0.8292682926829269, 0.0, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
2018-07-01-01, 0.8902439024390245, 0.0, 0.7961165048543688, 0.2532027128862095, 0.8846153846153846
2018-07-01-02, 0.878048780487805, 0.46153846153846156, 0.7961165048543688, 0.15410700828937454, 0.8846153846153846
