# CROND, RSYSLOGD, SESSION, SSHD, SU
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,1.443994212420462775e+00
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.960639254462192227e-01,1.298994996911195576e+00
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.982175372369521460e-01,1.298994996911195576e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.443994212420462775e+00
-3.405510149127267266e-02,-2.233244399553130921e-01,1.069441900159499248e+00,-5.960639254462192227e-01,2.023991074457531791e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,8.205486290640778835e-01,-5.874494782832875295e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,8.205486290640778835e-01,-5.949871195508528166e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.443994212420462775e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.588993427929729974e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,1.298994996911195576e+00
1.961342963853386356e+00,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,1.298994996911195576e+00
-3.405510149127267266e-02,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.878991858948264371e+00
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.982175372369521460e-01,1.298994996911195576e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.443994212420462775e+00
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,1.588993427929729974e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
1.961342963853386356e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
1.054343843242177670e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-3.150175867555737308e-01,1.298994996911195576e+00
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
6.915441949976942615e-01,2.983456822455974322e+00,8.205486290640778835e-01,-5.971407313415857399e-01,1.298994996911195576e+00
1.235743667364419318e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.443994212420462775e+00
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,1.588993427929729974e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,1.298994996911195576e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.298994996911195576e+00
