# time, CROND, RSYSLOGD, SESSION, SSHD, SU
2018-06-29-00, 0.14734472263096904, -0.2233244399553131, 0.5716553579686564, -0.5949871195508528, 1.2989949969111956
2018-06-29-01, -0.2154549256135144, -0.2233244399553131, 0.6961019935163671, -0.5971407313415857, 1.4439942124204628
2018-06-29-02, 0.8729440191199359, 4.586847453661617, 0.5716553579686564, -0.5960639254462192, 1.2989949969111956
2018-06-29-03, 0.32874454675321074, -0.2233244399553131, 0.6961019935163671, -0.5982175372369521, 1.2989949969111956
2018-06-29-04, 0.14734472263096904, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.4439942124204628
2018-06-29-05, -0.03405510149127267, -0.2233244399553131, 1.0694419001594992, -0.5960639254462192, 2.023991074457532
2018-06-29-06, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-07, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-08, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-09, -0.2154549256135144, -0.2233244399553131, 0.8205486290640779, -0.5874494782832875, 1.2989949969111956
2018-06-29-10, -0.2154549256135144, -0.2233244399553131, 0.6961019935163671, -0.5971407313415857, 1.2989949969111956
2018-06-29-11, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-12, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-13, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-14, -0.2154549256135144, -0.2233244399553131, 0.8205486290640779, -0.5949871195508528, 1.2989949969111956
2018-06-29-15, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.4439942124204628
2018-06-29-16, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-17, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-18, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-29-19, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5949871195508528, 1.2989949969111956
2018-06-29-20, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.58899342792973
2018-06-29-21, -0.2154549256135144, -0.2233244399553131, 0.6961019935163671, -0.5971407313415857, 1.2989949969111956
2018-06-29-22, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5949871195508528, 1.2989949969111956
2018-06-29-23, 1.9613429638533864, -0.2233244399553131, 0.6961019935163671, -0.5971407313415857, 1.2989949969111956
2018-06-30-00, -0.03405510149127267, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-01, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.8789918589482644
2018-06-30-02, 0.8729440191199359, 4.586847453661617, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-03, 0.32874454675321074, -0.2233244399553131, 0.6961019935163671, -0.5982175372369521, 1.2989949969111956
2018-06-30-04, 0.14734472263096904, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.4439942124204628
2018-06-30-05, -0.03405510149127267, -0.2233244399553131, 0.8205486290640779, -0.5982175372369521, 1.58899342792973
2018-06-30-06, -0.2154549256135144, -0.2233244399553131, 0.6961019935163671, -0.5971407313415857, 1.2989949969111956
2018-06-30-07, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-08, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-09, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-10, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-11, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-12, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-13, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-14, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-15, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-16, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-17, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-18, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-19, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-20, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-21, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
2018-06-30-22, -0.2154549256135144, -0.2233244399553131, 0.5716553579686564, -0.5982175372369521, 1.2989949969111956
